url,product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count,uniq_id,scraped_at,cleaned_text,review_month
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Kenia Rivera,The plastic ripped,"The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If you’re going to buy these I don’t recommend wearing them on days where you will do a lot of walking or they might rip",2.0,True,2021-10-28,,f4778bb8-3070-5cb1-b5aa-ffce41a97b57,24/12/2021 02:26:25,shoe cute 2nd day wearing tongue started ripping 3rd day wearing plastic side ripped could ripped bc wearing work lot walking work ’ going buy ’ recommend wearing day lot walking might rip,2021-10
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Lynn Maclean,Disappointed,This is the second pair I bought. Loved the first pair however not pleased with the 2nd pair. There is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs. I am very disappointed and will not buy them again.,2.0,True,2021-10-21,,b9c4399e-01de-5613-b597-915dc37944a7,24/12/2021 02:26:25,second pair bought loved first pair however pleased 2nd pair padding tongue part shoe causing irritation skin rub disappointed buy,2021-10
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",K. Bush,Tongue rubs ankles raw,"The tongue is long, stiff, and rough. It rubs my ankles raw.",2.0,True,2021-04-18,13.0,59166ddf-42ce-5f6a-ae31-30af1346de8f,24/12/2021 02:26:25,tongue long stiff rough rub ankle raw,2021-04
https://www.amazon.co.uk/dp/B002R74VLI,"Desconocido Women's Multisport W148 Kso Lace-Up Flats black Size:, Negro (Schwarz (Black)), 2 UK (34 EU)",WriterByNature.com,Not What I Expected,It took me a half hour to get these shoes on. Not practical. I returned the item and am still waiting for my refund.,2.0,True,2013-06-06,,d84ba2cc-101b-553e-9f15-42d28a9c3541,24/12/2021 02:26:26,took half hour get shoe practical returned item still waiting refund,2013-06
https://www.amazon.co.uk/dp/B0824ZHM19,Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Danielle L,Much smaller than the size they say,"These were waaaay smaller than the size they were supposed to be.Cute shoes tho.i bought them for my 6 yr old ,but they fit my 4 yr old.so,if you order them,get them 2 sizes bigger than you usually would get.",2.0,True,2020-11-07,,448b1987-71e9-5365-9ce2-4656d280e9fa,24/12/2021 02:26:27,waaaay smaller size supposed becute shoe thoi bought 6 yr old fit 4 yr oldsoif order themget 2 size bigger usually would get,2020-11
https://www.amazon.co.uk/dp/B0824ZHM19,Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Catherine,Run small,Very cute but they run small. Returned it.,2.0,True,2020-12-23,,8dec359c-5e5d-5905-a3c9-c4c05df6945b,24/12/2021 02:26:27,cute run small returned,2020-12
https://www.amazon.co.uk/dp/B074QT1874,"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Amazon Customer,"Beautiful shoes, terrible comfort.","I bought these shoes despite the price tag of 140$ because they were exactly my style and when I got them I indeed loved the look, however, the first day I wore the shoes (only for 2 hours) I got a blister the size of a quarter (that have caused me to loose sleep for two days do to pain). If shoes are that pricy there is no reason why they shouldn't be built with comfort or at the very least not cause this amount of pain :(",2.0,True,2020-09-04,,e0486458-5352-5689-8bda-f16f43db9c75,24/12/2021 02:26:27,bought shoe despite price tag 140 exactly style got indeed loved look however first day wore shoe 2 hour got blister size quarter caused loose sleep two day pain shoe pricy reason shouldnt built comfort least cause amount pain,2020-09
https://www.amazon.co.uk/dp/B074QT1874,"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Amazon Customer,Little traction allows slip/slide!,"Great fit, but the sole is totally flat and hard, offering very little traction. Odd being able to accidentally slide while wearing a tennis shoe. Thick suede laces are not easy to use.",2.0,True,2018-05-08,7.0,ad9ed756-4d09-577c-bf9a-2ec7d31e8fc2,24/12/2021 02:26:27,great fit sole totally flat hard offering little traction odd able accidentally slide wearing tennis shoe thick suede lace easy use,2018-05
https://www.amazon.co.uk/dp/B07VD4XF1B,"Keds Women's Jump Kick Leopard Sneaker, Tan, 7 UK",Amazon Customer,Cute but too stiff,These are so cute but I had to return them as they were way too stiff and would have caused blisters on my heels for sure. I had red marks just from trying them on. Super bummed because they are so cute.,2.0,True,2020-10-15,,2c800811-203a-5d8a-bb15-99025176b4a6,24/12/2021 02:26:28,cute return way stiff would caused blister heel sure red mark trying super bummed cute,2020-10
https://www.amazon.co.uk/dp/B07S9QW9T6,"adidas Women's Icon V Bounce W TPU Baseball Shoe, Collegiate Navy/Collegiate Navy/Glow Blue, 11 UK",LAUREN,Small fixed opening,The opening for the shoe is fixed. It doesn’t stretch and the opening is small. So unless you have an extremely petit ankle and foot area then these are nearly impossible to put on.  My 9 year old who is petite couldn’t even get these on after trying a second pair a size larger.  Disheartening considering Adidas cleats are our normal go-to.,2.0,True,2021-03-16,,b2aa6cdf-f172-5e7b-aa66-4940c44c50bc,24/12/2021 02:26:28,opening shoe fixed ’ stretch opening small unless extremely petit ankle foot area nearly impossible put 9 year old petite ’ even get trying second pair size larger disheartening considering adidas cleat normal goto,2021-03
https://www.amazon.co.uk/dp/B017M5IXIG,"Bloch Women's Curtain Call Dance Shoe, Black, 2 UK",Carol L,Too small. How do I return item.,Too small. I want to return them for a pair that fit comfortably. Have two bloody blisters now.,2.0,True,2019-04-08,2.0,7f94b3e0-8834-5675-bca6-972c2b0b09ae,24/12/2021 02:26:29,small want return pair fit comfortably two bloody blister,2019-04
https://www.amazon.co.uk/dp/B01LXIK21R,"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",Layzeeboi,The insole is uncomfortable,"After I tried them on, I then bought a different type, because the insole has a ridge on one side that feels uncomfortable.(The different ones I bought next — DenverHayes Quad Comfort — feel amazing!)",2.0,True,2019-07-21,,9b239697-3752-5981-92cf-9c8638b6e75e,24/12/2021 02:26:29,tried bought different type insole ridge one side feel uncomfortablethe different one bought next — denverhayes quad comfort — feel amazing,2019-07
https://www.amazon.co.uk/dp/B001MBLNU2,Dan Post Men's Albuquerque Black Size: 9.5 X-Wide,Lucas A Vaughn,Quality design has been exchanged for quick profit. Sorry I gotta move on to a new brand.,"I've been buying dan post albuquerque boots for several years now and they have been great until now. They have obviously changed the manufacturing to a much lower quality. I usually plan on buying a pair every year. I use my boots pretty hard in the garage for welding and fabricating and so far the albuquerque has taken the beating gracefully. But as soon as I opened the box for the new pair I immediately noticed the difference in quality. I included pictures of the old boot compared with the new one. The heal used to have layers of leather between the layers of sole material (rubber, plastic, poly-blablabla whatever?) It was tacked in to place and provided a sturdy support. The new boot has a chunk of foam like garbage the same as any pair of cheap garbage boot one could buy at Walmart. But they compensate for it by coloring it to look like layers of leather. I did try them on and they just didn't feel the same. The sturdy support I have come to count on has been replaced by a feeling of cheap low quality design compromises in exchange for quick profit. With a history of plantar fasciitus I just can't take the chance of wearing low quality footwear. Sorry Dan post, I gotta move on.",2.0,True,2021-03-08,4.0,37be40f1-703f-51f6-9eba-d23265aad774,24/12/2021 02:26:30,ive buying dan post albuquerque boot several year great obviously changed manufacturing much lower quality usually plan buying pair every year use boot pretty hard garage welding fabricating far albuquerque taken beating gracefully soon opened box new pair immediately noticed difference quality included picture old boot compared new one heal used layer leather layer sole material rubber plastic polyblablabla whatever tacked place provided sturdy support new boot chunk foam like garbage pair cheap garbage boot one could buy walmart compensate coloring look like layer leather try didnt feel sturdy support come count replaced feeling cheap low quality design compromise exchange quick profit history plantar fasciitus cant take chance wearing low quality footwear sorry dan post got ta move,2021-03
https://www.amazon.co.uk/dp/B001MBLNU2,Dan Post Men's Albuquerque Black Size: 9.5 X-Wide,J,Update: Comfy if you can get them on.,I read a review before buying these where the guy noted that he had difficulty getting his heal down into the boot and as a result the fabric at he bottom of the shaft and the top of the heal cup tore.  Dan Post apparently fixed that problem buy adding a leather reenforcement. When I first put them on the left one went on fine but with the right one I had a good deal of difficulty getting my heal past the leather patch and into the heal cup.  It has gotten progressively worse until now I can not get the right one on no matter how hard I try.  Perhaps a boot horn would help but...anyway great boots if you can get them on. Very comfortable.  Not sure what to do at this point...So I contacted amazon and I am returning the original pair.  They sent out a new pair. This is an entirely different boot.  They are at least 1/2 too small.  MUCH narrower especially when viewed form the bottom. The sole is 1/2 narrower.  The Dan Post Tag is a different color (green and yellow as opposed to the black and gold of the original).  The heal seems higher.  Leather is inferior. Weird.  I called Dan Post and they said they are always making design changes.  Looks like I'm just going to get my money back.  Too bad.,2.0,True,2020-01-21,4.0,f6b69974-9ab3-5ac4-b6f0-57dbecd77c26,24/12/2021 02:26:30,read review buying guy noted difficulty getting heal boot result fabric bottom shaft top heal cup tore dan post apparently fixed problem buy adding leather reenforcement first put left one went fine right one good deal difficulty getting heal past leather patch heal cup gotten progressively worse get right one matter hard try perhaps boot horn would help butanyway great boot get comfortable sure pointso contacted amazon returning original pair sent new pair entirely different boot least 12 small much narrower especially viewed form bottom sole 12 narrower dan post tag different color green yellow opposed black gold original heal seems higher leather inferior weird called dan post said always making design change look like im going get money back bad,2020-01
