url,product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count,uniq_id,scraped_at,cleaned_text,review_month,label
https://www.amazon.co.uk/dp/B0125TMZGK,"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",elaine,Can’t wear due to Poorly designed insoles,"I like the style and weight of this shoe, just right for wearing all day.  Good quality components.  However, as other reviewers have said, the insole makes wearing these shoes impossible.  The surface of the insoles is some attractive suede fabric which looks like it will be very comfortable.  In fact, the fabric prevents your foot from sliding into the shoe.  I forced my feet in and my toes were uncomfortably turned in on them selves, I could not possibly wear these shoes like that.  I tried stockings and different types of socks with the same difficulty, I just could not push my foot smoothly into the shoe.  Then I tried taking the insole out of another pair of sneakers and putting them in the Aragon’s.  My foot slid right in but when I walked there was no arch support.  Dilemma, should I send them back or go buy 6 or 7 sets of insoles at the drug store to see if any of them will work.  So disappointing.",3.0,True,2018-10-06,,bc8e41f4-6498-5d4c-a2cc-b9369067f5bd,24/12/2021 02:26:25,like style weight shoe right wearing day good quality component however reviewer said insole make wearing shoe impossible surface insole attractive suede fabric look like comfortable fact fabric prevents foot sliding shoe forced foot toe uncomfortably turned self could possibly wear shoe like tried stocking different type sock difficulty could push foot smoothly shoe tried taking insole another pair sneaker putting aragon ’ foot slid right walked arch support dilemma send back go buy 6 7 set insole drug store see work disappointing,2018-10,NEGATIVE
https://www.amazon.co.uk/dp/B07S1XM3L7,"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Jpg,Not for slippery surfaces/no tread,I thought they were really cute and fit good but after I decided to wear them around for a day I mopped the floor like I Do every day and I almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as you’re never honest with Service but I wouldn’t want to take my chances so back to Searching for a new pair of shoes,3.0,True,2021-07-10,2.0,9070cb93-424d-50b6-93d1-8e0177a2999f,24/12/2021 02:26:25,thought really cute fit good decided wear around day mopped floor like every day almost slipped shoe good lifestyle slippery pretty much tread would good walking long ’ never honest service ’ want take chance back searching new pair shoe,2021-07,NEGATIVE
https://www.amazon.co.uk/dp/B077TC44GZ,"Merrell Boys' Burnt Rock Low Sneaker, Black, 13.5 Medium US Little Kid",paulinedove,"May work for a ""B"" width foot","Grandson couldn't even get them on, they are so tightly cut.",3.0,True,2021-01-22,,90bbb21f-d7fa-538b-8f83-4beb55545e45,24/12/2021 02:26:25,grandson couldnt even get tightly cut,2021-01,NEGATIVE
https://www.amazon.co.uk/dp/B08KRS9T98,"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Michael Palmer,Tight fit,Difficult to put on. They are too hard.,3.0,True,2021-05-03,2.0,e8991c38-e069-5a9a-ae3b-8a6b78682e52,24/12/2021 02:26:26,difficult put hard,2021-05,NEGATIVE
https://www.amazon.co.uk/dp/B0824ZHM19,Toddler/Little Kid Girl's Ballet Flat Ankle Strap Shoes Party Dress Shoes Black Size: 7 Toddler,Sowmya,"Runs smaller, quality is good",Runs smaller than the actual size.,3.0,True,2020-08-06,,b636d9c3-8097-55ff-81fd-955d5e5227f4,24/12/2021 02:26:27,run smaller actual size,2020-08,NEGATIVE
https://www.amazon.co.uk/dp/B074QT1874,"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",J Shutt,Great shoe but tight,"This shoe is a bit too tight and the leather shoelaces shed little pieces of leather! They did include a second pair of cotton laces, which is odd.",3.0,True,2021-10-02,,2d891bef-6dcf-5e67-8919-a6d131e41232,24/12/2021 02:26:27,shoe bit tight leather shoelace shed little piece leather include second pair cotton lace odd,2021-10,NEGATIVE
https://www.amazon.co.uk/dp/B074QT1874,"FRYE Women's Maya Canvas Low Lace Sneaker, Blush, 4 UK",Dpedron,Gave  me terrible blisters first day I wore them. INSOLE comes out which is good,"need to put in an insole that supports a foot I don't like wearing flat shoes so I put my own in. The top of the shoe rubbed really bad on my right foot large toe joint which is my ""good"" foot. My left foot with having had major surgeries didn't have same issue. So I am still healing from 2 bad blisters on the right toe joint a week ago.",3.0,True,2019-07-18,,c72ad7de-3695-5c05-8fae-17fa8b262b52,24/12/2021 02:26:27,need put insole support foot dont like wearing flat shoe put top shoe rubbed really bad right foot large toe joint good foot left foot major surgery didnt issue still healing 2 bad blister right toe joint week ago,2019-07,NEGATIVE
https://www.amazon.co.uk/dp/B07DVQDFDT,"New Balance 860v9 Running Shoe, Gunmetal/Energy Red, 10.5 UK Child",Rees,wore out quickly,These shoes wore out quickly. Fewer than 3 months and they have a big hole and the soles are separating from the shoe. We bought New Balance from the local NB store and they lasted 7 months. These were disappointing.,3.0,True,2019-03-30,4.0,73cac125-aa7b-5360-b4d0-6beac55c36f0,24/12/2021 02:26:28,shoe wore quickly fewer 3 month big hole sol separating shoe bought new balance local nb store lasted 7 month disappointing,2019-03,NEGATIVE
https://www.amazon.co.uk/dp/B01LXIK21R,"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",RJW,As ordered. Wish someone would make them out of leather.,As ordered. Wish someone would make them out of leather. Would have given 5 stars if had leather uppers.,3.0,True,2019-06-01,,b54c079a-bd7d-5dfc-a119-cc891e2f1709,24/12/2021 02:26:29,ordered wish someone would make leather would given 5 star leather upper,2019-06,NEGATIVE
https://www.amazon.co.uk/dp/B01LXIK21R,"Dockers Men's Shorewood Fisherman Sandal, Briar, 6 UK",DAVID GOLDSHMID,Quality,The quality is not good,3.0,True,2021-07-20,,a72a2bc7-e49d-54a6-8edf-d2d10e5e6511,24/12/2021 02:26:29,quality good,2021-07,NEGATIVE
